R0,VE,infectious_period,I0,Re,peak_day,peak_infections,total_infections,attack_rate
14.247240713084175,0.9612092245540009,7.459996621979941,1312.4746799071304,1.2373904751192366,284,2533170.6351833763,45542623.5876565,0.031111207149752705
17.704285838459498,0.9599873628869421,6.369023991197423,972.655661714967,1.558189698293099,123,9510698.077550488,79712647.49271512,0.054453531510495215
16.39196365086843,0.9552846173750857,6.693279388739772,1932.5471972414875,1.5159224628345775,130,8976154.862200703,80804267.68433309,0.055199242214774534
15.59195090518222,0.9682180001030446,7.326561273715637,516.0590568700526,1.2503637582178546,292,2537188.4352333704,43651963.99278307,0.02981965436530317
12.936111842654618,0.9642987248152588,6.96417868904896,1216.9271903979873,1.0855494964121737,585,395537.5080592779,18880441.90754676,0.01289766142115189
12.935967122017216,0.97597102976972,7.477142077269788,1430.3990284814229,0.942094426531951,0,1430.3990284814229,24652.40344285965,1.684062027682471e-05
12.348501673009197,0.9509632874144617,7.92241580244572,1668.572529756225,1.1926785146817827,350,1942660.0875624125,43017765.26232362,0.02938641871651675
17.19705687464961,0.9693160378266538,6.2330933754303945,873.2449578132134,1.3611429942353828,174,4533178.22846158,55597786.39389157,0.03798011869559642
15.606690070459253,0.9728884663553468,7.419135432796121,1405.1516245492148,1.182299741303549,340,1393942.6861691885,32340671.740098238,0.02209265208298299
16.24843546677627,0.9727845970756492,6.460688311264229,676.0827956301373,1.2325191055515112,265,2131700.2464499697,39157604.05932832,0.026749454366259712
12.123506965774816,0.9765822190128657,6.828953454815139,927.4045754874585,0.8758856976632279,0,927.4045754874585,7470.0725173950195,5.102977281601751e-06
17.819459112971966,0.9718710122848848,6.065725451590279,1801.6915492864584,1.367154134803446,154,4474859.928081991,54380840.59742236,0.037148795206050335
16.99465584480253,0.9778343018494309,6.271814764585398,1904.8244577288133,1.2075962832873905,248,1640531.1353011716,33607516.54444289,0.02295806272536058
13.274034664069656,0.9599796979946267,6.639554578097799,1465.752959161803,1.1683710654850528,328,1410419.0258754264,35219384.32373285,0.024059166448183723
13.090949803242603,0.9650962825025463,6.68397161057597,811.2685924747516,1.0886241631825708,577,416517.77753584384,19261049.778351784,0.013157663357330438
13.100427059120603,0.9504223898984867,7.799170432924192,1658.1098009518616,1.272034824611406,263,3547848.9390756227,56231367.39665508,0.03841293236047422
13.825453457757227,0.9502087276190987,7.48362581853303,149.14745527829834,1.3452402458472927,260,5176130.292056315,66296179.66699767,0.04528843567580955
15.148538589793427,0.9572037986135455,7.944365936374082,295.2172300249,1.3733118422789843,241,5473039.976295346,65080440.25552869,0.0444579362954317
14.591670111852695,0.9530242159141725,7.198143020670481,1356.6100991131862,1.3807658929873488,186,5865747.314488704,69884089.01972008,0.04773941856422917
13.747374841188252,0.9578063410380726,6.483427464182636,653.3722930131091,1.2384181854467478,266,2634362.021496109,47355793.351156,0.032349824859189844
15.671117368334277,0.9553112988358519,6.655310059843286,1907.6338149609078,1.4488616553494074,145,7350012.553638877,74217368.5317359,0.05069958084553969
12.836963163912252,0.9508556007451594,6.639671846583934,928.515162975379,1.2411697589952488,262,2889312.415582834,51291538.51585698,0.03503842234132604
13.75286789121131,0.9772791243921815,6.652988655326503,915.7931587394363,0.9844967351371918,0,915.7931587394363,57299.59554409981,3.914266342470208e-05
14.19817105976215,0.9502466939416667,7.345928346223632,1388.3510693627693,1.3809942056827786,191,6047140.499976017,70837696.26797056,0.0483908494723042
14.736419905302215,0.9720824643301126,7.061615856180833,1558.3802683817603,1.1276552972001888,421,751066.9457155016,24397365.664783955,0.016666398141170758
16.711055768358083,0.9545644366075855,6.770848356173289,1003.5616024377593,1.5568652104494416,131,10030027.003622083,84265830.71467376,0.05756391504245156
13.198042692950159,0.977366888659988,6.298179537457433,506.6017132522759,0.943679265900293,0,506.6017132522759,8988.009594202042,6.1399147945656015e-06
15.08540663048167,0.9767838781876965,6.044278325884292,1569.2864211786812,1.0869837375494071,473,352831.932862062,16487367.429879427,0.011262897546466522
15.554487413172255,0.9696170343910777,6.437669355175386,708.6674222598924,1.2266862539905,269,2124118.206325892,39945874.32594657,0.0272879398030407
12.278702476319987,0.9701670244940181,6.214942807937362,432.71046165832945,0.9619298425262285,0,432.71046165832945,11350.96990942955,7.754106996562783e-06
15.64526911140863,0.9501601742590906,7.570890061704478,1300.1163608575253,1.5230330674435588,152,9623028.195304057,85211027.77692556,0.05820960076023757
13.02314474212375,0.979546146983408,6.224995915627771,271.8619672816658,0.9042120510569304,0,271.8619672816658,2837.751000404358,1.938532571428894e-06
12.390309557911678,0.9763349781072744,7.448456474613672,1945.5700826635043,0.8980715774939303,0,1945.5700826635043,19070.80046248436,1.3027699701094034e-05
17.69331322352,0.9768531867719027,6.7713173795521655,1301.5548023830602,1.2737322869184913,226,2623799.2025624504,41761299.81049204,0.02852809844708382
